Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","R_0603_1608Metric",118.645000,-122.555000,0.000000,top
"C2","TAJA226M010RNJ","CAPMP3216X180N",107.940000,-123.740000,180.000000,top
"C3","0.1uF","R_0603_1608Metric",118.490000,-114.710000,0.000000,top
"FL1","BLM18PG601SN1","BEADC1608X95N",108.500000,-120.000000,0.000000,top
"J1","Conn_02x05_Odd_Even","PinHeader_2x05_P2.54mm_Vertical",132.980000,-124.040000,180.000000,top
"J2","TYPE-C-31-M-12","HRO_TYPE-C-31-M-12",97.737500,-119.785000,-90.000000,top
"LS1","Speaker","Speaker_SMD",115.000000,-144.720000,0.000000,top
"LS2","Speaker","Speaker_TH",115.000000,-136.265000,0.000000,top
"R1","10K","R_0603_1608Metric",110.040000,-111.585000,0.000000,top
"R2","5.1K","R_0603_1608Metric",105.060000,-119.255000,0.000000,top
"R3","5.1K","R_0603_1608Metric",105.060000,-120.780000,0.000000,top
"S1","MX1A-11NN","SW_MX1A-11NN",115.000000,-102.630000,0.000000,top
"U1","ISD2360YYI","TQFN-32_L5.0-W5.0-P0.50-BL-EP3.5",114.970000,-118.960000,-90.000000,top
