Ref,Val,Package,PosX,PosY,Rot,Side
"U1","STM32H743VITx","LQFP-100_14x14mm_P0.5mm",182.635000,-74.055000,-90.000000,top
"U4","XL-1606UGC","LED-SMD_L1.7-W1.1-R-RD_ORANGE",182.710064,-60.400000,0.000000,top
"U5","XL-1606UGC","LED-SMD_L1.7-W1.1-R-RD_ORANGE",179.810000,-60.400000,0.000000,top
"U6","FS8205A_C2830320","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR",147.580000,-77.155000,90.000000,top
"U8","XL-1606UGC","LED-SMD_L1.7-W1.1-R-RD_ORANGE",176.850000,-60.400000,0.000000,top
"U9","XL-1606UGC","LED-SMD_L1.7-W1.1-R-RD_ORANGE",173.940000,-60.400000,0.000000,top
"U17","AO3415A","SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR",174.870000,-84.465001,180.000000,top
"U18","FTC252010S1R0MBCA","IND-SMD_L2.5-W2.0_FTC252010S",203.455000,-83.410000,0.000000,top
"U20","FTC252010S1R0MBCA","IND-SMD_L2.5-W2.0_FTC252010S",197.239936,-88.575081,180.000000,top
"U21","DSHP-01-TJ-GER","SW-SMD_L5.4-W2.9-LS5.6",171.899975,-88.094994,-90.000000,top
"U22","TPS631000DRLR","SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL",203.375084,-86.289994,180.000000,top
"U23","TPS631000DRLR","SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL",197.235000,-85.555000,0.000000,top
"U24","LM73100RPWR","VQFN-10_L2.0-W2.0-P0.45-TL",184.294955,-85.789998,90.000000,top
"U25","FC-F1005BK-470G5","LED0402-R-RD",207.894236,-89.519987,0.000000,top
"U26","XL-1606UGC","LED-SMD_L1.7-W1.1-R-RD_ORANGE",210.040000,-60.370000,0.000000,top
"U27","BLD6005","QFN50P300X300X100-17N",155.330000,-83.775000,0.000000,top
"U28","TP5602B","QFN50P400X400X80-25N270X270",169.845000,-76.787500,90.000000,top
"U29","AO3400C","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",165.194962,-75.840000,90.000000,top
"U30","FTC252010S1R0MBCA","IND-SMD_L2.5-W2.0_FTC252010S",165.845000,-79.760000,-90.000000,top
"U31","1TS015A-2400-0600","SW-SMD_L3.0-W2.0-LS3.5",161.250000,-66.055000,-90.000000,top
"U33","PESDNC2FD5VB","DFN1006-2L-BI",147.930000,-70.525000,180.000000,top
"U34","PESDNC2FD5VB","DFN1006-2L-BI",149.880000,-70.525001,0.000000,top
"U35","PESDNC2FD5VB","DFN1006-2L-BI",151.690000,-65.540057,90.000000,top
"U36","PESDNC2FD5VB","DFN1006-2L-BI",154.140000,-70.520001,180.000000,top
"U37","PESDNC2FD5VB","DFN1006-2L-BI",156.095000,-70.520001,0.000000,top
"U38","WAFER-MX1_25-4PWB","CONN-SMD_4P-P1.25_WAFER-MX1.25-4PWB",143.698319,-74.870000,-90.000000,top
"U39","MAX17048G+T10","TDFN-8_L2.0-W2.0-P0.50-BL-EP1.2",164.700000,-70.360000,-90.000000,top
"U46","SIM7670G-LNGV","LCC-124_L24.0-W24.0-P1.0-TL",222.675000,-73.470000,180.000000,top
"U47","WE05DGCF-B","DFN1006-2L-BI",235.326110,-87.895038,90.000000,top
"U48","WE05DGCF-B","DFN1006-2L-BI",240.125000,-61.464962,90.000000,top
"U49","TXB0104RUTR","UQFN-12_L2.0-W1.7-P0.40-BL",200.405000,-80.335000,0.000000,top
"U50","BWIPX-1-001E","IPEX-SMD_BWIPX-1-001E",237.980273,-87.860000,0.000000,top
"U51","BWIPX-1-001E","IPEX-SMD_BWIPX-1-001E",238.105000,-65.330273,-90.000000,top
"U52","SMN-328-ACP7","SIM-SMD_SMN-328-ACP7",200.325146,-69.139943,180.000000,top
"U53","PESDNC2FD3V3BS","DFN1006-2L-BI",195.250000,-78.000000,-90.000000,top
"U54","PESDNC2FD3V3BS","DFN1006-2L-BI",198.715000,-77.485000,0.000000,top
"U55","PESDNC2FD3V3BS","DFN1006-2L-BI",200.420000,-77.485000,0.000000,top
"U56","PESDNC2FD3V3BS","DFN1006-2L-BI",205.000000,-77.405000,0.000000,top
"X1","X322525MOB4SI","CRYSTAL-SMD_4P-L3.2-W2.5-BL",189.530000,-62.215000,180.000000,top
